college,cases,LAT,LON
Alabama A&M University,41,34.783368,-86.568502
Alabama State University,,32.364317,-86.295677
Athens State University,2,34.806793,-86.964698
Auburn University,2019,32.599378,-85.488258
Auburn University at Montgomery,59,32.36736,-86.177544
Bevill State Community College,4,33.836929,-87.266406
Birmingham-Southern College,180,33.513774,-86.850552
Calhoun Community College,31,34.645844,-86.949674
Central Alabama Community College,24,32.92478,-85.945266
Enterprise State Community College,31,31.297496,-85.836956
Gadsden State Community College,37,33.994001,-85.991438
Huntingdon College,,32.351034,-86.284366
Jacksonville State University,219,33.822938,-85.765321
Lurleen B. Wallace Community College,9,31.322947,-86.452262
Marion Military Institute,5,32.623734,-87.322041
Miles College,,33.482442,-86.908751
Samford University,370,33.464128,-86.791799
Snead State Community College,11,34.201495,-86.169897
Southern Union State Community College,59,33.128785,-85.572382
Spring Hill College,112,30.694751,-88.138199
Troy University,547,31.800672,-85.957094
Troy University Dothan,12,31.280632,-85.470866
Troy University Montgomery,13,32.376305,-86.310895
Troy University-Phenix City Campus,8,32.474218,-84.997001
Tuskegee University,62,32.4309,-85.708492
University of Alabama,2882,33.211875,-87.545978
University of Alabama at Birmingham,1562,33.505697,-86.799345
University of Alabama in Huntsville,91,34.724557,-86.640449
University of Montevallo,101,33.10625,-86.865099
University of North Alabama,301,34.806738,-87.681361
University of South Alabama,322,30.696033,-88.178711
University of West Alabama,,32.588132,-88.186329
Ilisagvik College,,71.324702,-156.679486
University of Alaska Anchorage,7,61.190163,-149.82619
University of Alaska Fairbanks,85,64.85756,-147.823146
University of Alaska Southeast,1,58.384846,-134.638255
American Samoa Community College,0,-14.322636,-170.742774
Arizona State University,2369,33.417721,-111.934383
Arizona Western College,5,32.689306,-114.495968
Dine College,7,36.293328,-109.21684
Embry-Riddle Aeronautical University at Prescott,37,34.616766,-112.449741
Grand Canyon University,80,33.513231,-112.129929
Midwestern University at Glendale,66,33.663853,-112.183633
Mohave Community College,,35.270996,-114.029838
Northern Arizona University,215,35.188449,-111.653724
University of Arizona,2433,32.232672,-110.950815
Arkansas Northeastern College,28,35.898597,-89.921005
Arkansas State University,618,35.842388,-90.679988
Arkansas Tech University,293,35.293237,-93.13562
Black River Technical College,51,36.239793,-90.951033
Harding University,250,35.247386,-91.726143
Henderson State University,108,34.128155,-93.059703
Hendrix College,15,35.101565,-92.443256
John Brown University,35,36.189812,-94.560283
Lyon College,12,35.777619,-91.625354
National Park College,29,34.512687,-93.119248
NorthWest Arkansas Community College,13,36.357704,-94.17289
Ouachita Baptist University,130,34.126093,-93.052471
Southern Arkansas University,125,33.291618,-93.235922
University of Arkansas,2167,36.070009,-94.176981
University of Arkansas Community College Rich Mountain,19,34.591449,-94.219799
University of Arkansas Community College at Hope - Texarkana,16,33.474797,-94.004275
University of Arkansas Community College-Morrilton,34,35.172136,-92.728507
University of Arkansas at Fort Smith,79,35.384184,-94.373729
University of Arkansas at Little Rock,130,34.723254,-92.339778
University of Arkansas at Monticello,34,33.590909,-91.811153
